bgg_id,name,year,type
310868,Checkmath,,boardgame
29773,Cheeky Monkey,,boardgame
40819,Cheese Chasers,,boardgame
7644,Cherry Ames' Nursing Game,,boardgame
171,chess,,boardgame
19685,Chess Mutation,,boardgame
,"Chessboard and chess pieces used by Napoleon and his entourage at Longwood, Saint Helena",,boardgame
13036,Cheyenne,,boardgame
1398,Chicago,1986,boardgame
280203,Chicken Chicken,2019,boardgame
724,Chill: Black Morn Manor,,boardgame
287515,China’s War: 1937-1941,2025,boardgame
2386,Chinese checkers,,boardgame
,Chinese Civil War,,boardgame
8747,Chinese Farm,,boardgame
35769,Chinesenspiel,,boardgame
2194,Chitin: I,,boardgame
19040,ChiZo Rising,,boardgame
25695,Chopstick Dexterity MegaChallenge 3000,,boardgame
,Chouine,,boardgame
13328,Chromino,,boardgame
,Chron'Autrices,2025,boardgame
239188,Chronicles of Crime,,boardgame
43136,Chunky Fighters,,boardgame
,Chupu,,boardgame
17209,Cineplexity,,boardgame
2224,Circus Imperium,,boardgame
244,Circus Maximus,1979,boardgame
4411,Citadel,,boardgame
3248,Citadel of Blood,,boardgame
38657,Cities,2008,boardgame
267370,Cities: Skylines – The Board Game,2019,boardgame
39581,Citizen X,,boardgame
,City,,boardgame
1145,City of Chaos,,boardgame
19766,City of Heroes Collectible Card Game,,boardgame
7102,City of Sorcerers,,boardgame
263895,City of the Great Machine,2023,boardgame
4248,City States of Arklyrell,,boardgame
6923,CityTech,,boardgame
8220,Civil War,,boardgame
77130,Civilization,2010,boardgame
3633,Civilization: The Boardgame,,boardgame
26047,Civilization: The Card Game,,boardgame
,Civolution,2024,boardgame
26162,Claim It!,,boardgame
13584,Clan War,,boardgame
201808,Clank! A Deck-Building Adventure,2016,boardgame
,Clank!: A Deck-Building Adventure,2016,boardgame
,Clank!: Catacombs,2022,boardgame
4636,Clans,2002,boardgame
216132,Clans of Caledonia,,boardgame
,Clash of Deck,,boardgame
3242,Clash of the Gladiators,,boardgame
1510,Class Struggle,,boardgame
9095,Classical Diplomacy,,boardgame
36932,Claustrophobia,2009,boardgame
22141,Cleopatra and the Society of Architects,,boardgame
36560,Click Clack,2008,boardgame
,ClimaTicTac,,boardgame
23864,Clobber,2001,boardgame
195340,Clomping Creatures,,boardgame
261683,Cloomba,2018,boardgame
3553,Close Action,,boardgame
22237,Close to the Border,2005,boardgame
,Cloudships & Gunboats,,boardgame
13260,CLOWN,,boardgame
,Clubhouse Baseball,,boardgame
,Clue Jr.: Case of the Missing Pet,,boardgame
,Clue: Scott the Woz Edition,2022,boardgame
1484,Clue: The Great Museum Caper,,boardgame
1294,Cluedo,1949,boardgame
1561,Cluedo Master Detective,,boardgame
37589,Cluedo: Discover the Secrets,,boardgame
115997,Co-opoly,,boardgame
4008,Cobra: Game of the Normandy Breakout,,boardgame
217275,Cockroach Duel,,boardgame
8946,Coda,,boardgame
16977,Codename: Kids Next Door Trading Card Game,,boardgame
178900,Codenames,2015,boardgame
,Codenames Duet,2017,boardgame
84783,Coerceo,,boardgame
94746,Coffee,,boardgame
377061,Coffee Rush,2023,boardgame
,COIN,,boardgame
,Coin Hopping--Washington D.C.,,boardgame
,COIN Series,,boardgame
24742,Cold War: CIA vs KGB,,boardgame
11607,Collection particulière,,boardgame
10005,Colomino,,boardgame
250,Colonial Diplomacy,,boardgame
180199,Colonial Twilight: The French-Algerian War,2017,boardgame
192934,Colony,,boardgame
11622,Colony Delta,,boardgame
5782,Coloretto,2003,boardgame
,Colorforms,,boardgame
35346,Colorito,,boardgame
27746,Colosseum,2007,boardgame
,Colour whist,,boardgame
158899,Colt Express,2014,boardgame
256883,Comanauts,2019,boardgame
8429,Combat Command,,boardgame
21050,Combat Commander: Europe,,boardgame
28181,Combat Commander: Pacific,,boardgame
,Combined Arms,,boardgame
381078,Comet,2023,boardgame
